;date;ward_A_nursing_staff_capacity;ward_A_planned_absences;ward_A_unplanned_absences;ward_B_nursing_staff_capacity;ward_B_planned_absences;ward_B_unplanned_absences;ward_C_nursing_staff_capacity;ward_C_planned_absences;ward_C_unplanned_absences;ward_D_nursing_staff_capacity;ward_D_planned_absences;ward_D_unplanned_absences
44;03.01.2022 08:00;16;62;9;16;49;8;14;38;4;21;38;3
45;03.01.2022 09:00;16;62;9;16;49;8;14;38;4;21;38;3
46;03.01.2022 10:00;16;62;9;16;49;8;14;38;4;21;38;3
47;03.01.2022 11:00;16;62;9;16;49;8;14;38;4;21;38;3
48;03.01.2022 12:00;14;62;9;16;49;8;14;38;4;21;38;4
49;03.01.2022 13:00;22;62;10;22;49;8;19;38;4;30;38;4
50;03.01.2022 14:00;22;62;7;22;49;7;18;38;4;28;38;4
51;03.01.2022 15:00;10;62;7;12;49;7;8;38;4;15;38;4
52;03.01.2022 16:00;9;62;7;7;49;7;5;38;4;9;38;4
53;03.01.2022 17:00;9;62;7;7;49;7;5;38;4;9;38;4
54;03.01.2022 18:00;9;62;7;7;49;7;5;38;4;9;38;4
55;03.01.2022 19:00;9;62;7;7;49;7;4;38;4;9;38;4
56;03.01.2022 20:00;13;62;7;10;49;8;6;38;4;15;38;4
57;03.01.2022 21:00;13;62;7;10;49;7;7;38;5;15;38;4
58;03.01.2022 22:00;4;62;7;3;49;7;3;38;5;6;38;4
59;03.01.2022 23:00;4;62;7;3;49;7;3;38;5;6;38;4
60;04.01.2022 00:00;4;62;5;3;51;6;3;41;5;6;38;2
61;04.01.2022 01:00;4;62;5;3;51;6;3;41;5;6;38;2
62;04.01.2022 02:00;4;62;5;3;51;6;3;41;5;6;38;2
63;04.01.2022 03:00;4;62;5;3;51;6;3;41;5;6;38;2
64;04.01.2022 04:00;4;62;5;3;51;6;3;41;5;6;38;2
65;04.01.2022 05:00;16;62;5;11;51;6;11;41;5;18;38;2
66;04.01.2022 06:00;17;62;3;13;51;5;13;41;4;20;38;1
67;04.01.2022 07:00;16;62;3;15;51;5;14;41;5;20;38;1
68;04.01.2022 08:00;20;62;3;16;51;5;14;41;4;20;38;1
69;04.01.2022 09:00;20;62;3;16;51;5;14;41;4;20;38;1
70;04.01.2022 10:00;20;62;3;16;51;5;14;41;4;20;38;1
71;04.01.2022 11:00;20;62;3;16;51;5;14;41;4;20;38;1
72;04.01.2022 12:00;18;62;3;16;51;5;14;41;4;20;38;2
73;04.01.2022 13:00;25;62;6;22;51;6;20;41;4;29;38;2
74;04.01.2022 14:00;25;62;5;22;51;6;20;41;4;28;38;2
75;04.01.2022 15:00;10;62;5;12;51;6;10;41;4;14;38;2
76;04.01.2022 16:00;8;62;5;7;51;6;6;41;4;9;38;2
77;04.01.2022 17:00;8;62;5;7;51;6;6;41;4;9;38;2
78;04.01.2022 18:00;8;62;5;7;51;6;6;41;4;9;38;2
79;04.01.2022 19:00;8;62;5;7;51;6;5;41;4;9;38;2
80;04.01.2022 20:00;12;62;5;11;51;6;7;41;4;14;38;3
81;04.01.2022 21:00;12;62;5;11;51;5;8;41;5;14;38;3
82;04.01.2022 22:00;4;62;5;4;51;5;3;41;4;5;38;3
83;04.01.2022 23:00;4;62;5;4;51;5;3;41;4;5;38;3
84;05.01.2022 00:00;4;62;6;4;51;5;3;42;4;5;40;3
85;05.01.2022 01:00;4;62;6;4;51;5;3;42;4;5;40;3
86;05.01.2022 02:00;4;62;6;4;51;5;3;42;4;5;40;3
87;05.01.2022 03:00;4;62;6;4;51;5;3;42;4;5;40;3
88;05.01.2022 04:00;4;62;6;4;51;5;3;42;4;5;40;3
89;05.01.2022 05:00;16;62;6;13;51;6;10;42;4;18;40;3
90;05.01.2022 06:00;16;62;6;14;51;6;12;42;4;19;40;3
91;05.01.2022 07:00;15;62;6;14;51;6;13;42;5;20;40;3
92;05.01.2022 08:00;18;62;7;14;51;6;13;42;4;20;40;3
93;05.01.2022 09:00;18;62;7;14;51;6;13;42;4;20;40;3
94;05.01.2022 10:00;18;62;7;14;51;6;13;42;4;20;40;3
95;05.01.2022 11:00;18;62;7;14;51;6;13;42;4;20;40;3
96;05.01.2022 12:00;17;62;7;15;51;6;14;42;4;20;40;4
97;05.01.2022 13:00;25;62;10;23;51;8;19;42;4;28;40;4
98;05.01.2022 14:00;25;62;7;23;51;7;19;42;4;27;40;3
99;05.01.2022 15:00;11;62;7;13;51;7;10;42;4;13;40;3
100;05.01.2022 16:00;9;62;7;9;51;7;6;42;4;8;40;3
101;05.01.2022 17:00;9;62;7;9;51;7;6;42;4;8;40;3
102;05.01.2022 18:00;9;62;7;9;51;7;6;42;4;8;40;3
103;05.01.2022 19:00;9;62;7;9;51;7;5;42;4;8;40;3
104;05.01.2022 20:00;13;62;7;12;51;8;7;42;4;12;40;4
105;05.01.2022 21:00;13;62;7;12;51;8;8;42;5;12;40;3
106;05.01.2022 22:00;4;62;7;3;51;8;3;42;4;4;40;3
107;05.01.2022 23:00;4;62;7;3;51;8;3;42;4;4;40;3
108;06.01.2022 00:00;4;45;7;3;34;7;3;41;8;4;27;4
109;06.01.2022 01:00;4;45;7;3;34;7;3;41;8;4;27;4
110;06.01.2022 02:00;4;45;7;3;34;7;3;41;8;4;27;4
111;06.01.2022 03:00;4;45;7;3;34;7;3;41;8;4;27;4
112;06.01.2022 04:00;4;45;7;3;34;7;3;41;8;4;27;4
113;06.01.2022 05:00;13;45;9;11;34;8;11;41;8;14;27;4
114;06.01.2022 06:00;13;45;9;12;34;7;13;41;8;14;27;4
115;06.01.2022 07:00;9;45;8;9;34;7;10;41;6;11;27;4
116;06.01.2022 08:00;9;45;7;10;34;7;10;41;5;11;27;4
117;06.01.2022 09:00;9;45;7;10;34;7;10;41;5;11;27;4
118;06.01.2022 10:00;9;45;7;10;34;7;10;41;5;11;27;4
119;06.01.2022 11:00;9;45;7;10;34;7;11;41;5;11;27;4
120;06.01.2022 12:00;9;45;7;10;34;7;10;41;5;11;27;4
121;06.01.2022 13:00;17;45;9;19;34;8;16;41;5;19;27;3
122;06.01.2022 14:00;17;45;6;19;34;6;16;41;5;19;27;2
123;06.01.2022 15:00;8;45;6;10;34;6;7;41;5;9;27;2
124;06.01.2022 16:00;8;45;6;10;34;6;7;41;5;8;27;2
125;06.01.2022 17:00;8;45;6;10;34;6;7;41;5;8;27;2
126;06.01.2022 18:00;8;45;6;10;34;6;7;41;5;8;27;2
127;06.01.2022 19:00;8;45;6;10;34;6;7;41;5;8;27;2
128;06.01.2022 20:00;13;45;6;13;34;7;8;41;5;12;27;2
129;06.01.2022 21:00;13;45;6;13;34;6;9;41;5;12;27;1
130;06.01.2022 22:00;5;45;6;3;34;6;3;41;4;4;27;1
131;06.01.2022 23:00;5;45;6;3;34;6;3;41;4;4;27;1
132;07.01.2022 00:00;5;64;7;3;52;6;3;41;1;4;38;0
133;07.01.2022 01:00;5;64;7;3;52;6;3;41;1;4;38;0
134;07.01.2022 02:00;5;64;7;3;52;6;3;41;1;4;38;0
135;07.01.2022 03:00;5;64;7;3;52;6;3;41;1;4;38;0
136;07.01.2022 04:00;5;64;7;3;52;6;3;41;1;4;38;0
137;07.01.2022 05:00;17;64;7;12;52;6;8;41;1;16;38;1
138;07.01.2022 06:00;18;64;5;13;52;5;11;41;1;17;38;1
139;07.01.2022 07:00;16;64;6;14;52;5;11;41;4;18;38;1
140;07.01.2022 08:00;19;64;6;15;52;5;11;41;4;18;38;1
141;07.01.2022 09:00;19;64;6;15;52;5;11;41;4;18;38;1
142;07.01.2022 10:00;19;64;6;15;52;5;11;41;4;18;38;1
143;07.01.2022 11:00;19;64;6;15;52;5;11;41;4;18;38;1
144;07.01.2022 12:00;17;64;6;15;52;5;10;41;4;18;38;1
145;07.01.2022 13:00;23;64;9;24;52;8;14;41;5;26;38;1
146;07.01.2022 14:00;22;64;7;24;52;7;14;41;5;26;38;1
147;07.01.2022 15:00;7;64;7;14;52;7;7;41;5;13;38;1
148;07.01.2022 16:00;6;64;7;10;52;7;4;41;5;8;38;1
149;07.01.2022 17:00;6;64;7;10;52;7;4;41;5;8;38;1
150;07.01.2022 18:00;6;64;7;10;52;7;4;41;5;8;38;1
151;07.01.2022 19:00;6;64;7;10;52;7;4;41;5;8;38;1
152;07.01.2022 20:00;11;64;7;14;52;7;6;41;5;12;38;1
153;07.01.2022 21:00;11;64;7;14;52;6;7;41;5;12;38;1
154;07.01.2022 22:00;5;64;7;4;52;6;3;41;5;4;38;1
155;07.01.2022 23:00;5;64;7;4;52;6;3;41;5;4;38;1
156;08.01.2022 00:00;5;44;7;4;32;6;3;36;8;4;28;1
157;08.01.2022 01:00;5;44;7;4;32;6;3;36;8;4;28;1
158;08.01.2022 02:00;5;44;7;4;32;6;3;36;8;4;28;1
159;08.01.2022 03:00;5;44;7;4;32;6;3;36;8;4;28;1
160;08.01.2022 04:00;5;44;7;4;32;6;3;36;8;4;28;1
161;08.01.2022 05:00;15;44;7;12;32;8;9;36;8;13;28;2
162;08.01.2022 06:00;15;44;7;12;32;8;10;36;8;13;28;1
163;08.01.2022 07:00;10;44;6;8;32;8;7;36;6;10;28;1
164;08.01.2022 08:00;10;44;6;8;32;8;7;36;5;10;28;1
165;08.01.2022 09:00;10;44;6;8;32;8;7;36;5;10;28;1
166;08.01.2022 10:00;10;44;6;8;32;8;7;36;5;10;28;1
167;08.01.2022 11:00;10;44;6;8;32;8;7;36;5;10;28;1
168;08.01.2022 12:00;10;44;6;9;32;8;7;36;5;10;28;1
169;08.01.2022 13:00;16;44;6;15;32;10;11;36;5;18;28;1
170;08.01.2022 14:00;16;44;3;15;32;7;11;36;4;18;28;1
171;08.01.2022 15:00;6;44;3;7;32;7;4;36;4;9;28;1
172;08.01.2022 16:00;6;44;3;7;32;7;4;36;4;8;28;1
173;08.01.2022 17:00;6;44;3;7;32;7;4;36;4;8;28;1
174;08.01.2022 18:00;6;44;3;7;32;7;4;36;4;8;28;1
175;08.01.2022 19:00;6;44;3;7;32;7;4;36;4;8;28;1
176;08.01.2022 20:00;10;44;4;11;32;7;6;36;4;13;28;1
177;08.01.2022 21:00;10;44;4;11;32;7;7;36;4;13;28;1
178;08.01.2022 22:00;4;44;4;4;32;7;3;36;4;5;28;1
179;08.01.2022 23:00;4;44;4;4;32;7;3;36;4;5;28;1
180;09.01.2022 00:00;4;44;4;4;33;7;3;37;4;5;28;1
181;09.01.2022 01:00;4;44;4;4;33;7;3;37;4;5;28;1
182;09.01.2022 02:00;4;44;4;4;33;7;3;37;4;5;28;1
183;09.01.2022 03:00;4;44;4;4;33;7;3;37;4;5;28;1
184;09.01.2022 04:00;4;44;4;4;33;7;3;37;4;5;28;1
185;09.01.2022 05:00;14;44;4;12;33;8;9;37;4;14;28;3
186;09.01.2022 06:00;14;44;4;12;33;6;10;37;4;14;28;2
187;09.01.2022 07:00;10;44;4;8;33;6;7;37;4;9;28;2
188;09.01.2022 08:00;10;44;4;8;33;6;7;37;4;9;28;2
189;09.01.2022 09:00;10;44;4;8;33;6;7;37;4;9;28;2
190;09.01.2022 10:00;10;44;4;8;33;6;7;37;4;9;28;2
191;09.01.2022 11:00;10;44;4;8;33;6;7;37;4;9;28;2
192;09.01.2022 12:00;10;44;4;9;33;6;7;37;4;9;28;2
193;09.01.2022 13:00;17;44;4;15;33;8;11;37;5;17;28;2
194;09.01.2022 14:00;17;44;4;15;33;6;11;37;5;17;28;2
195;09.01.2022 15:00;7;44;4;7;33;6;4;37;5;8;28;2
196;09.01.2022 16:00;7;44;4;7;33;6;4;37;5;8;28;2
197;09.01.2022 17:00;7;44;4;7;33;6;4;37;5;8;28;2
198;09.01.2022 18:00;7;44;4;7;33;6;4;37;5;8;28;2
199;09.01.2022 19:00;7;44;4;7;33;6;4;37;5;8;28;2
200;09.01.2022 20:00;11;44;5;11;33;6;6;37;5;13;28;2
201;09.01.2022 21:00;11;44;4;11;33;6;7;37;5;13;28;2
202;09.01.2022 22:00;4;44;4;4;33;6;3;37;5;5;28;2
203;09.01.2022 23:00;4;44;4;4;33;6;3;37;5;5;28;2
204;10.01.2022 00:00;4;50;4;4;45;6;3;41;1;5;42;4
205;10.01.2022 01:00;4;50;4;4;45;6;3;41;1;5;42;4
206;10.01.2022 02:00;4;50;4;4;45;6;3;41;1;5;42;4
207;10.01.2022 03:00;4;50;4;4;45;6;3;41;1;5;42;4
208;10.01.2022 04:00;4;50;4;4;45;6;3;41;1;5;42;4
209;10.01.2022 05:00;16;50;5;13;45;6;8;41;2;17;42;4
210;10.01.2022 06:00;17;50;5;13;45;5;9;41;3;18;42;2
211;10.01.2022 07:00;18;50;7;15;45;5;10;41;5;20;42;2
212;10.01.2022 08:00;21;50;7;17;45;5;11;41;5;20;42;2
213;10.01.2022 09:00;21;50;8;17;45;5;11;41;5;20;42;2
214;10.01.2022 10:00;21;50;8;17;45;5;11;41;5;20;42;2
215;10.01.2022 11:00;21;50;8;17;45;5;11;41;5;20;42;2
216;10.01.2022 12:00;19;50;8;19;45;5;11;41;5;20;42;2
217;10.01.2022 13:00;26;50;9;25;45;6;18;41;5;29;42;3
218;10.01.2022 14:00;24;50;9;24;45;4;17;41;4;27;42;3
219;10.01.2022 15:00;11;50;9;15;45;4;11;41;4;14;42;3
220;10.01.2022 16:00;8;50;9;9;45;4;7;41;4;9;42;3
221;10.01.2022 17:00;8;50;9;9;45;4;7;41;4;9;42;3
222;10.01.2022 18:00;8;50;9;9;45;4;7;41;4;9;42;3
223;10.01.2022 19:00;8;50;9;9;45;4;6;41;4;9;42;3
224;10.01.2022 20:00;13;50;9;13;45;4;8;41;4;14;42;4
225;10.01.2022 21:00;13;50;8;13;45;4;9;41;4;14;42;4
226;10.01.2022 22:00;5;50;8;4;45;4;3;41;4;5;42;4
227;10.01.2022 23:00;5;50;8;4;45;4;3;41;4;5;42;4
228;11.01.2022 00:00;5;48;8;4;41;5;3;40;4;5;39;2
229;11.01.2022 01:00;5;48;8;4;41;5;3;40;4;5;39;2
230;11.01.2022 02:00;5;48;8;4;41;5;3;40;4;5;39;2
231;11.01.2022 03:00;5;48;8;4;41;5;3;40;4;5;39;2
232;11.01.2022 04:00;5;48;8;4;41;5;3;40;4;5;39;2
233;11.01.2022 05:00;17;48;9;13;41;6;12;40;5;19;39;4
234;11.01.2022 06:00;18;48;8;13;41;6;13;40;3;20;39;4
235;11.01.2022 07:00;18;48;9;16;41;6;14;40;4;21;39;4
236;11.01.2022 08:00;21;48;8;18;41;6;15;40;3;21;39;4
237;11.01.2022 09:00;21;48;8;18;41;6;15;40;3;21;39;4
238;11.01.2022 10:00;21;48;7;18;41;6;15;40;3;21;39;4
239;11.01.2022 11:00;21;48;7;18;41;6;16;40;3;21;39;4
240;11.01.2022 12:00;20;48;7;19;41;6;16;40;3;21;39;4
241;11.01.2022 13:00;28;48;9;26;41;6;22;40;3;29;39;6
242;11.01.2022 14:00;26;48;8;25;41;5;21;40;3;27;39;5
243;11.01.2022 15:00;12;48;8;16;41;5;10;40;3;12;39;5
244;11.01.2022 16:00;9;48;8;9;41;5;7;40;3;8;39;5
245;11.01.2022 17:00;9;48;8;9;41;5;7;40;3;8;39;5
246;11.01.2022 18:00;9;48;8;9;41;5;7;40;3;8;39;5
247;11.01.2022 19:00;9;48;8;9;41;5;6;40;3;8;39;5
248;11.01.2022 20:00;14;48;8;13;41;5;7;40;3;12;39;6
249;11.01.2022 21:00;14;48;8;13;41;5;8;40;3;12;39;5
250;11.01.2022 22:00;5;48;8;4;41;5;3;40;3;4;39;5
251;11.01.2022 23:00;5;48;8;4;41;5;3;40;3;4;39;5
252;12.01.2022 00:00;5;46;9;4;45;5;3;41;3;4;37;6
253;12.01.2022 01:00;5;46;9;4;45;5;3;41;3;4;37;6
254;12.01.2022 02:00;5;46;9;4;45;5;3;41;3;4;37;6
255;12.01.2022 03:00;5;46;9;4;45;5;3;41;3;4;37;6
256;12.01.2022 04:00;5;46;9;4;45;5;3;41;3;4;37;6
257;12.01.2022 05:00;16;46;11;13;45;5;10;41;4;18;37;6
258;12.01.2022 06:00;16;46;10;14;45;4;12;41;3;19;37;4
259;12.01.2022 07:00;16;46;10;17;45;4;14;41;4;21;37;5
260;12.01.2022 08:00;20;46;9;18;45;4;15;41;3;21;37;5
261;12.01.2022 09:00;20;46;9;18;45;4;15;41;3;21;37;5
262;12.01.2022 10:00;20;46;9;18;45;4;15;41;3;21;37;5
263;12.01.2022 11:00;20;46;9;19;45;4;16;41;3;21;37;5
264;12.01.2022 12:00;18;46;9;19;45;4;16;41;3;22;37;5
265;12.01.2022 13:00;25;46;11;27;45;5;22;41;3;30;37;8
266;12.01.2022 14:00;23;46;9;26;45;5;21;41;3;29;37;6
267;12.01.2022 15:00;11;46;9;16;45;5;12;41;3;14;37;6
268;12.01.2022 16:00;8;46;9;9;45;5;7;41;3;9;37;6
269;12.01.2022 17:00;8;46;9;9;45;5;7;41;3;9;37;6
270;12.01.2022 18:00;8;46;9;9;45;5;7;41;3;9;37;6
271;12.01.2022 19:00;8;46;9;9;45;5;6;41;3;9;37;6
272;12.01.2022 20:00;12;46;10;11;45;7;7;41;3;13;37;6
273;12.01.2022 21:00;12;46;10;11;45;7;8;41;3;13;37;5
274;12.01.2022 22:00;4;46;10;3;45;7;3;41;3;4;37;5
275;12.01.2022 23:00;4;46;10;3;45;7;3;41;3;4;37;5
276;13.01.2022 00:00;4;48;10;3;43;8;3;39;4;4;35;6
277;13.01.2022 01:00;4;48;10;3;43;8;3;39;4;4;35;6
278;13.01.2022 02:00;4;48;10;3;43;8;3;39;4;4;35;6
279;13.01.2022 03:00;4;48;10;3;43;8;3;39;4;4;35;6
280;13.01.2022 04:00;4;48;10;3;43;8;3;39;4;4;35;6
281;13.01.2022 05:00;15;48;11;10;43;9;8;39;4;17;35;6
282;13.01.2022 06:00;16;48;9;11;43;10;13;39;3;18;35;6
283;13.01.2022 07:00;17;48;9;16;43;10;14;39;4;21;35;6
284;13.01.2022 08:00;21;48;9;17;43;10;15;39;3;21;35;5
285;13.01.2022 09:00;21;48;9;17;43;10;15;39;3;21;35;5
286;13.01.2022 10:00;21;48;9;17;43;10;15;39;3;21;35;5
287;13.01.2022 11:00;21;48;9;18;43;10;16;39;3;21;35;5
288;13.01.2022 12:00;19;48;9;18;43;10;16;39;3;22;35;5
289;13.01.2022 13:00;25;48;11;26;43;11;20;39;3;30;35;6
290;13.01.2022 14:00;23;48;9;25;43;10;19;39;3;29;35;3
291;13.01.2022 15:00;10;48;9;17;43;10;9;39;3;15;35;3
292;13.01.2022 16:00;7;48;9;9;43;10;5;39;3;9;35;3
293;13.01.2022 17:00;7;48;9;9;43;10;5;39;3;9;35;3
294;13.01.2022 18:00;7;48;9;9;43;10;5;39;3;9;35;3
295;13.01.2022 19:00;7;48;9;9;43;10;5;39;3;9;35;3
296;13.01.2022 20:00;11;48;10;11;43;12;6;39;3;13;35;3
297;13.01.2022 21:00;11;48;9;11;43;10;7;39;3;13;35;3
298;13.01.2022 22:00;4;48;9;3;43;10;3;39;3;4;35;3
299;13.01.2022 23:00;4;48;9;3;43;10;3;39;3;4;35;3
300;14.01.2022 00:00;4;49;8;3;39;13;3;40;2;4;35;4
301;14.01.2022 01:00;4;49;8;3;39;13;3;40;2;4;35;4
302;14.01.2022 02:00;4;49;8;3;39;13;3;40;2;4;35;4
303;14.01.2022 03:00;4;49;8;3;39;13;3;40;2;4;35;4
304;14.01.2022 04:00;4;49;8;3;39;13;3;40;2;4;35;4
305;14.01.2022 05:00;15;49;9;12;39;13;11;40;2;18;35;4
306;14.01.2022 06:00;15;49;8;14;39;11;13;40;2;18;35;4
307;14.01.2022 07:00;15;49;9;17;39;11;13;40;3;19;35;4
308;14.01.2022 08:00;17;49;9;18;39;11;13;40;2;19;35;4
309;14.01.2022 09:00;17;49;9;18;39;11;13;40;2;19;35;4
310;14.01.2022 10:00;17;49;9;18;39;11;13;40;2;19;35;4
311;14.01.2022 11:00;17;49;9;18;39;12;13;40;2;19;35;4
312;14.01.2022 12:00;15;49;9;18;39;12;13;40;2;19;35;4
313;14.01.2022 13:00;23;49;11;25;39;12;18;40;3;26;35;5
314;14.01.2022 14:00;21;49;9;25;39;11;18;40;3;25;35;4
315;14.01.2022 15:00;10;49;9;14;39;11;8;40;3;11;35;4
316;14.01.2022 16:00;8;49;9;8;39;11;5;40;3;7;35;4
317;14.01.2022 17:00;8;49;9;8;39;11;5;40;3;7;35;4
318;14.01.2022 18:00;8;49;9;8;39;11;5;40;3;7;35;4
319;14.01.2022 19:00;8;49;9;8;39;11;5;40;3;7;35;4
320;14.01.2022 20:00;13;49;9;12;39;11;7;40;3;11;35;4
321;14.01.2022 21:00;13;49;8;12;39;9;8;40;3;11;35;4
322;14.01.2022 22:00;5;49;8;4;39;9;3;40;3;4;35;4
323;14.01.2022 23:00;5;49;8;4;39;9;3;40;3;4;35;4
324;15.01.2022 00:00;5;44;9;4;30;7;3;38;5;4;30;3
325;15.01.2022 01:00;5;44;9;4;30;7;3;38;5;4;30;3
326;15.01.2022 02:00;5;44;9;4;30;7;3;38;5;4;30;3
327;15.01.2022 03:00;5;44;9;4;30;7;3;38;5;4;30;3
328;15.01.2022 04:00;5;44;9;4;30;7;3;38;5;4;30;3
329;15.01.2022 05:00;14;44;11;14;30;8;9;38;5;13;30;4
330;15.01.2022 06:00;14;44;10;15;30;8;10;38;5;13;30;4
331;15.01.2022 07:00;9;44;9;11;30;8;7;38;4;10;30;4
332;15.01.2022 08:00;9;44;8;12;30;8;7;38;3;10;30;4
333;15.01.2022 09:00;9;44;8;12;30;8;7;38;3;10;30;4
334;15.01.2022 10:00;9;44;8;12;30;8;7;38;3;10;30;4
335;15.01.2022 11:00;9;44;8;12;30;8;7;38;3;10;30;4
336;15.01.2022 12:00;9;44;8;12;30;7;7;38;3;10;30;4
337;15.01.2022 13:00;15;44;8;20;30;7;12;38;4;18;30;5
338;15.01.2022 14:00;15;44;6;20;30;7;12;38;3;18;30;4
339;15.01.2022 15:00;6;44;6;9;30;7;5;38;3;9;30;4
340;15.01.2022 16:00;6;44;6;9;30;7;5;38;3;8;30;4
341;15.01.2022 17:00;6;44;6;9;30;7;5;38;3;8;30;4
342;15.01.2022 18:00;6;44;6;9;30;7;5;38;3;8;30;4
343;15.01.2022 19:00;6;44;6;9;30;7;5;38;3;8;30;4
344;15.01.2022 20:00;11;44;6;13;30;7;8;38;3;12;30;4
345;15.01.2022 21:00;11;44;6;13;30;7;8;38;3;12;30;4
346;15.01.2022 22:00;5;44;6;4;30;7;3;38;3;4;30;4
347;15.01.2022 23:00;5;44;6;4;30;7;3;38;3;4;30;4
348;16.01.2022 00:00;5;44;5;4;30;7;3;37;3;4;30;4
349;16.01.2022 01:00;5;44;5;4;30;7;3;37;3;4;30;4
350;16.01.2022 02:00;5;44;5;4;30;7;3;37;3;4;30;4
351;16.01.2022 03:00;5;44;5;4;30;7;3;37;3;4;30;4
352;16.01.2022 04:00;5;44;5;4;30;7;3;37;3;4;30;4
353;16.01.2022 05:00;13;44;8;14;30;8;8;37;5;14;30;5
354;16.01.2022 06:00;13;44;6;15;30;7;9;37;5;14;30;4
355;16.01.2022 07:00;8;44;6;11;30;7;6;37;5;10;30;4
356;16.01.2022 08:00;8;44;6;12;30;7;6;37;5;10;30;4
357;16.01.2022 09:00;8;44;6;12;30;7;6;37;5;10;30;4
358;16.01.2022 10:00;8;44;6;12;30;7;6;37;5;10;30;4
359;16.01.2022 11:00;8;44;6;12;30;7;7;37;5;10;30;4
360;16.01.2022 12:00;8;44;6;12;30;7;7;37;5;10;30;4
361;16.01.2022 13:00;13;44;6;20;30;7;12;37;6;17;30;5
362;16.01.2022 14:00;13;44;6;20;30;7;12;37;5;17;30;4
363;16.01.2022 15:00;5;44;6;9;30;7;6;37;5;7;30;4
364;16.01.2022 16:00;5;44;6;9;30;7;6;37;5;7;30;4
365;16.01.2022 17:00;5;44;6;9;30;7;6;37;5;7;30;4
366;16.01.2022 18:00;5;44;6;9;30;7;6;37;5;7;30;4
367;16.01.2022 19:00;5;44;6;9;30;7;6;37;5;7;30;4
368;16.01.2022 20:00;10;44;6;13;30;7;7;37;5;11;30;4
